Random waveform, random seed
Total number of intervals = 120 (21257, 98472, 99385, 54860, 74812, 34374, 56412, 25022, 13667, 40991, 17264, 68474, 16258, 78637, 98263, 9582, 68051, 22444, 99304, 17067, 85588, 72585, 47753, 39595, 20887, 62903, 63533, 99741, 55201, 7634, 13982, 19855, 97801, 36001, 47073, 19170, 86409, 96132, 93091, 8683, 70231, 96349, 36092, 56170, 45086, 56355, 15811, 70698, 61639, 88560, 55595, 72643, 64080, 72644, 85604, 61949, 87359, 10901, 94842, 72605, 84828, 20798, 80234, 61141, 80390, 21672, 43890, 5333, 11671, 32970, 21506, 19175, 68977, 20688, 50117, 57099, 77177, 76678, 47281, 82491, 74986, 15991, 52696, 88814, 41079, 76563, 17491, 81333, 96770, 86331, 25887, 22408, 77311, 40381, 32535, 25963, 60651, 16279, 42716, 33724, 61095, 70459, 30772, 39467, 55219, 25868, 86768, 52291, 26145, 72902, 44359, 96828, 12564, 28113, 88793, 69276, 6714, 39313, 35453, 51764)
Average QPS expected = 52763
Timestamp start: 1684510768352
Timestamp end: 1684511968760

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      347.4   188.0   160.7   209.3   223.0   311.6   366.9   403.1   433.6   472.6   525.5   594.0   730.6  1107.8  7479.4  76509.2    76563
read      405.8   229.4   160.7   222.2   240.3   393.5   462.2   494.4   516.0   540.3   571.4   618.5   744.9  2388.2  9241.5  17508.4    17491
read      336.1   159.4   148.8   206.7   220.0   302.6   354.8   389.1   416.6   452.5   501.2   570.8   702.5  1148.5  5444.5  81162.8    81333
read      327.7   175.4   160.7   207.4   220.3   298.7   345.9   375.2   398.6   428.4   468.6   534.4   675.1  1104.4  8330.8  96758.0    96770
read      336.5   169.3   148.8   207.6   220.8   304.0   355.9   389.1   415.1   448.7   494.3   562.2   705.0  1352.0  5616.5  86259.5    86331
read      401.4   248.9   160.7   216.0   231.4   362.5   460.5   503.6   530.7   559.7   593.0   647.3   796.5  3095.5  9574.5  25827.6    25887
read      399.7   287.2   160.7   217.6   233.3   372.9   457.8   494.9   519.0   545.0   577.7   627.6   750.4  2761.2 12437.1  22505.4    22408
read      337.4   201.2   160.7   206.6   219.8   302.9   354.9   389.7   418.4   456.2   505.5   574.4   695.5  1097.8  8125.0  77305.2    77311
read      376.9   199.8   160.7   210.8   225.2   329.5   415.0   472.4   510.8   548.6   589.5   643.8   772.0  1127.9  8352.8  40375.2    40381
read      389.6   228.7   160.7   214.1   228.9   344.1   442.2   494.8   526.6   558.4   593.8   645.9   781.7  1235.2  9873.5  32495.7    32535
